# 武器数值表
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 可在 Excel / Google Sheets 中直接编辑
#
# ====== 列说明 (46列) ======
# --- 基础信息 ---
# id:           武器唯一标识 (英文, 程序内部使用)
# name:         武器名 (中文)
# desc:         武器描述 (支持 中文 + 数值)
# icon:         武器图标 (emoji)
# slots:        武器槽位数 (1=单手, 2=双手, 占用槽位数)
# cost:         基础购买价 (材料, 商店最终价格受关卡数加成)
# tag:          攻击方式标签 (melee/melee2h/ranged/fire/explosive/crit/tech/economy)
# minLevel:     最低出现等级 (1=商店可刷出, 2+需升级/合成获得)
#
# --- 基础数值 (4级) ---
# damage_lv1~4:  每级基础伤害 (整数, 每级独立)
# cooldown_lv1~4:每级攻击间隔 (秒, 越小越快, 每级独立)
#
# --- 属性修正 (加减/乘算, 叠加到角色面板) ---
# attackRangeMult: (v1.3 移除, 死字段)
# speedMult:       移速修正 (乘算, 1.0=不变, 1.15=+15%, -0.1=-10%)
# critChanceAdd:   暴击率附加 (小数, 0.05=+5%)
# critDamageAdd:   暴击伤害附加 (小数, 0.5=+0.5x)
# armorAdd:        护甲附加 (整数)
# hpRegenAdd:      生命回复附加 (每秒回复量)
# maxHpAdd:        最大生命附加 (整数)
# lifeStealAdd:    生命偷取附加 (小数, 0.03=+3%)
#
# --- 弹道/攻击行为参数 ---
# bulletCount:     弹道数/投射物数量 (霰弹枪=5, 散布在spread角度内; 近战=伤害计算次数)
# bulletSpeed:     子弹飞行速度 (像素/秒, 0=瞬移攻击)
# bulletMaxRange:  子弹最大飞行距离 (像素, 0=使用attackRange, 默认0)
# attackRange:     攻击范围/射程 (像素, 近战=80, 远程=300~400)
# spread:          弹道散布角度 (弧度, 0=集中, 0.2=散布, 与bulletCount配合)
# pierce:          穿透次数 (0=不穿透, 3=穿3个敌人)
# burnDps:         灼烧每秒伤害 (0=无灼烧)
# burnMaxStacks:   灼烧最大层数 (默认3)
# chainCount:      连锁电击次数 (0=无连锁)
# splashRadius:    溅射/爆炸半径 (像素, 0=无溅射)
# homingStrength:  追踪强度 (0=无追踪, >0=追踪弹)
# slowAmount:      减速比例 (小数, 0.3=减速30%)
# slowDuration:    减速持续时间 (秒)
# healOnHit:       击中回复生命 (整数)
# auraHeal:        光环每秒治疗量 (shield_aura行为用)
# auraRadius:      光环半径 (像素)
# sprayCone:       喷射锥角 (弧度, spray行为用)
#
# --- 元数据 ---
# behavior:  攻击行为模式
#   bullet      子弹 (默认, 单发)
#   spread      散射 (扇形多发, 配合bulletCount+spread)
#   melee_sweep 近战挥砍 (180°扇形, bulletCount=多段伤害)
#   melee_thrust近战突刺 (直线穿透, bulletCount=多段伤害)
#   explode     爆炸
#   frost       冰冻
#   shock       电击
#   homing      追踪弹
#   spray       喷射 (锥形多发, 配合sprayCone)
#   heal_bullet 治愈弹 (击中回血友军)
#   shield_aura 圣光盾 (光环治疗)
# class:    武器类别 (纯装饰, 见 csv/classes.csv)
#   Blade|Blunt|Precise|Elemental|Heavy|Medical|Support|Primitive
# knockback:击退力度 (近战默认300, 远程默认100)
# magSize:  弹匣容量 (0=无限, >0=有限需换弹)
# reloadTime:换弹时间 (秒, 仅magSize>0时生效)
id,name,desc,icon,cost,tag,minLevel,damage_lv1,damage_lv2,damage_lv3,damage_lv4,cooldown_lv1,cooldown_lv2,cooldown_lv3,cooldown_lv4,speedMult,critChanceAdd,critDamageAdd,armorAdd,hpRegenAdd,maxHpAdd,lifeStealAdd,bulletCount,bulletSpeed,bulletMaxRange,attackRange,spread,pierce,burnDps,burnMaxStacks,chainCount,splashRadius,homingStrength,slowAmount,slowDuration,healOnHit,auraHeal,auraRadius,sprayCone,behavior,class,class_2,knockback,magSize,reloadTime
minigun,迷你机枪,3发极速 -30%伤害 -5%移速,⚡,20,gun,2,0,5,10,20,0,0.19,0.18,0.17,-0.05,0,0,0,0,0,0,1,650,0,320,0.15,0,0,0,0,0,0,0,0,0,0,0,0,spread,Gun,hmg,60,0,0
# ====== 弓箭 (bow) ======
bow,长弓,标准射击 +5%暴率,🏹,8,bow,1,15,25,40,60,0.9,0.84,0.78,0.72,0,0.05,0,0,0,0,0,1,600,0,320,0.02,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Bow,longbow,100,0,0
crossbow,弩,穿透+1 +30%暴伤,🏹,12,bow,1,20,35,55,85,1,0.93,0.86,0.79,0,0,0.3,0,0,0,0,1,900,0,320,0.01,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Crossbow,handcrossbow,90,0,0
longbow,强弓,穿透+2 +20%伤害 -20%攻速,🏹,14,bow,1,30,50,75,115,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,700,0,320,0.01,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Bow,longbow,200,0,0
recurve,反曲弓,攻速较快 +15%攻速,🏹,10,bow,1,15,25,40,60,0.7,0.65,0.6,0.55,0,0,0,0,0,0,0,1,500,0,320,0.04,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Bow,recurve,80,0,0
explosive_arrow,爆裂箭,爆炸40px +20%伤害,💣,16,bow,1,20,30,50,75,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,400,0,320,0.03,0,0,0,0,0,40,0,0,0,0,0,0,explode,Bow,grenade,200,0,0
frost_arrow,冰霜箭,减速50% 2s -15%伤害,❄️,12,bow,1,10,20,30,40,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,550,0,320,0.03,0,0,0,0,0,0,0,0.5,2,0,0,0,frost,Bow,ice,100,0,0
poison_arrow,毒箭,中毒8/s×3s -10%伤害,☠️,10,bow,1,5,10,20,30,0.9,0.84,0.78,0.72,0,0,0,0,0,0,0,1,500,0,320,0.03,0,8,3,0,0,0,0,0,0,0,0,0,bullet,Bow,shadow,80,0,0
triple_shot,三连弓,3发散弹 -10%伤害,🏹,14,bow,1,10,20,30,40,0.9,0.84,0.78,0.72,0,0,0,0,0,0,0,3,600,0,320,0.15,0,0,0,0,0,0,0,0,0,0,0,0,spread,Crossbow,repeating,80,0,0
piercing_shot,穿甲箭,穿透+4 +15%伤害 -15%攻速,🎯,15,bow,1,25,40,65,100,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,850,0,320,0.01,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Crossbow,heavycrossbow,90,0,0
homing_bow,追踪弓,自动追踪 -10%伤害,🎯,16,bow,1,15,25,40,60,0.8,0.74,0.69,0.63,0,0,0,0,0,0,0,1,300,0,320,0.05,0,0,0,0,0,3,0,0,0,0,0,0,homing,Bow,longbow,80,0,0
# ====== 元素 (magic) ======
fire_staff,火球杖,爆炸45px+灼烧5/s -15%伤害,🔥,12,magic,1,20,30,40,60,0.9,0.84,0.78,0.72,0,0,0,0,0,0,0,1,400,0,320,0.05,0,5,3,0,45,0,0,0,0,0,0,0,explode,Elemental,fire,80,0,0
frost_staff,冰霜杖,减速60% 3s -10%攻速,❄️,14,magic,1,15,20,30,45,0.9,0.84,0.78,0.72,0,0,0,0,0,0,0,1,500,0,320,0.05,0,0,0,0,0,0,0.6,3,0,0,0,0,frost,Elemental,ice,60,0,0
thunder_staff,雷电杖,连锁+3目标 -5%伤害,⚡,16,magic,1,20,30,40,60,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,800,0,320,0.05,0,0,0,3,0,0,0,0,0,0,0,0,shock,Elemental,lightning,100,0,0
energy_staff,能量杖,穿透+2 -10%攻速,🔮,15,magic,1,20,35,55,75,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,700,0,320,0.02,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Elemental,force,100,0,0
magic_orb,魔法弹,自动追踪 -5%伤害,🔮,9,magic,1,15,20,30,45,0.8,0.74,0.69,0.63,0,0,0,0,0,0,0,1,250,0,320,0.08,0,0,0,0,0,3,0,0,0,0,0,0,homing,Elemental,force,60,0,0
poison_staff,毒杖,中毒12/s×3s,☠️,13,magic,1,10,20,30,40,1,0.93,0.86,0.79,0,0,0,0,0,0,0,1,450,0,320,0.06,0,12,3,0,0,0,0,0,0,0,0,0,frost,Elemental,shadow,60,0,0
void_staff,虚空杖,范围80px吸取 +5%吸血,🕳️,18,magic,2,0,45,70,100,0,1.12,1.04,0.96,0,0,0,0,0,0,0.05,1,300,0,320,0.04,0,0,0,0,80,0,0,0,0,0,0,0,explode,Elemental,shadow,80,0,0
lightning_staff,闪电杖,暴击连锁+5 +10%暴率,⚡,14,magic,1,20,30,40,60,0.9,0.84,0.78,0.72,0,0.1,0,0,0,0,0,1,900,0,320,0.04,0,0,0,5,0,0,0,0,0,0,0,0,shock,Elemental,lightning,100,0,0
fire_wand,火焰魔棒,灼烧3/s×2s +10%攻速,🪄,8,magic,1,10,20,30,40,0.7,0.65,0.6,0.55,0,0,0,0,0,0,0,1,450,0,320,0.06,0,3,2,0,0,0,0,0,0,0,0,0,bullet,Elemental,fire,50,0,0
arcane_orb,奥术球,3发追踪弹 +10%射程,🔮,17,magic,1,25,40,60,85,0.9,0.84,0.78,0.72,0,0,0,0,0,0,0,1,250,0,320,0.1,0,0,0,0,0,3,0,0,0,0,0,0,homing,Elemental,force,80,0,0
# ====== 喷射类 (magic - spray) ======
flame_spray,火焰喷射器,锥形火焰 穿透3 灼烧6/s×3s,🔥,14,magic,1,15,20,30,45,0.6,0.56,0.52,0.48,0,0,0,0,0,0,0,1,300,0,320,0.5,0,6,3,0,0,0,0,0,0,0,0,0,spray,Elemental,fire,80,0,0
poison_spray,毒雾喷射器,锥形毒雾 穿透3 中毒10/s×3s,☠️,13,magic,1,10,20,30,40,0.7,0.65,0.6,0.55,0,0,0,0,0,0,0,1,280,0,320,0.6,0,10,3,0,0,0,0,0,0,0,0,0,spray,Elemental,shadow,60,0,0
cold_spray,冷气喷射器,锥形冷气 穿透3 减速50%/2s 冰爆40px,❄️,15,magic,1,10,20,30,40,0.7,0.65,0.6,0.55,0,0,0,0,0,0,0,1,320,0,320,0.55,0,0,0,0,40,0,0.5,2,0,0,0,0,spray,Elemental,ice,60,0,0
# ====== 医疗 (medic) ======
heal_gun,治愈枪,攻击回血+3 -20%伤害 +2回复,💉,10,medic,1,5,10,15,20,0.9,0.84,0.78,0.72,0,0,0,0,2,0,0,1,500,0,320,0.05,0,0,0,0,0,0,0,0,0,3,0,0,heal_bullet,Medical,heal,50,0,0
shield,圣光盾,治疗光环5/s r100 -50%伤害 +3护甲,✨,16,medic,1,5,5,10,15,1.5,1.4,1.3,1.2,-0.15,0,0,3,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,5,100,shield_aura,Medical,regen,100,0,0
holy_staff,圣光杖,20%回血+5 -10%伤害 +1回复,✨,14,medic,1,10,20,25,30,0.9,0.84,0.78,0.72,0,0,0,0,1,0,0,1,500,0,320,0.04,0,0,0,0,0,0,0,0,0,5,0,0,bullet,Medical,holy,60,0,0
life_wand,生命魔棒,击杀回血+8 -15%伤害 +5HP,💚,9,medic,1,5,10,15,20,0.8,0.74,0.69,0.63,0,0,0,0,0,5,0,1,450,0,310,0.06,0,0,0,0,0,0,0,0,0,0,0,0,bullet,Medical,heal,50,0,0
blessing,祝福盾,减伤光环 -30%伤害 +2护甲,🛡️,15,medic,1,5,10,15,20,1.2,1.12,1.04,0.96,0,0,0,2,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,3,80,shield_aura,Medical,regen,80,0,0
# ====== 骑枪 (lance) ======
pike,长枪,超长距突刺 穿透+4,🔱,12,lance,2,0,35,55,85,0.8,0.74,0.69,0.63,0,0,0,0,0,0,0,1,0,0,160,0,4,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Heavy,pike,40,0,0
cavalry_lance,骑枪,超长距突刺 穿透+5 +30%伤害 -25%攻速,🔱,16,lance,3,0,0,95,145,1.1,1.02,0.95,0.87,0,0,0,0,0,0,0,1,0,0,160,0,5,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Heavy,lance,50,0,0
trident,三叉戟,三叉突刺 穿透+6 -10%伤害 +15%射程,🔱,14,lance,1,20,30,50,75,0.85,0.79,0.73,0.67,0,0,0,0,0,0,0,1,0,0,160,0,6,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Heavy,trident,35,0,0
